Ticker,period_end,Total Revenue,Cost Of Revenue,Gross Profit,Research Development,Selling General Administrative,Operating Expense,Other Operating Expenses,Operating Income,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Tax Provision,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Extraordinary Items,Effect Of Accounting Charges,Other Items,Net Income,Net Income Applicable To Common Shares,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Normalized Income,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Preferred Dividends,Net Interest Income,Provision for Loan Losses,Total Premiums Earned
ACS.MC,2024-12-31 00:00:00,41633120000.0,28284489000.0,13348631000.0,,,12523948000.0,2665056000.0,824683000.0,,,719300000.0,,-86479000.0,,,,,,,827580000.0,,3.11037,3.11037,266052034.0,266052034.0,435343962.0,,,,,-408086000.0,,
ACX.MC,2024-12-31 00:00:00,5413128000.0,3553243000.0,1859885000.0,,,1652161000.0,809289000.0,207724000.0,,,108114000.0,,126955000.0,,,,,,,224946000.0,,0.9,0.9,249335371.0,249335371.0,129779894.148746,,,,,-19870000.0,,
AMS.MC,2024-12-31 00:00:00,6141700000.0,3486700000.0,2655000000.0,,,1027400000.0,327200000.0,1627600000.0,,,108600000.0,,295600000.0,,,,,,,1253000000.0,,2.87,2.79,436069462.0,452096083.0,1247094300.0,,,,,-87100000.0,,
ANA.MC,2024-12-31 00:00:00,19190000000.0,7059000000.0,12131000000.0,,,11112000000.0,411000000.0,1019000000.0,,,658000000.0,,156000000.0,,,,,,,422000000.0,,,,,,312141176.470588,,,,,-495000000.0,,
ANE.MC,2024-12-31 00:00:00,3048000000.0,1862000000.0,1186000000.0,,,612000000.0,433000000.0,574000000.0,,,165000000.0,,95000000.0,,,,,,,357000000.0,,1.1,1.1,324397668.0,324397668.0,251016597.510373,,,,,-195000000.0,,
BBVA.MC,2024-12-31 00:00:00,39235000000.0,,,,,,,,,,36394000000.0,,4830000000.0,,,,,,,10054000000.0,,1.68,1.68,5769000000.0,5769000000.0,11596978000.0,,,,,25267000000.0,,
BKT.MC,2024-12-31 00:00:00,3082391000.0,,,,,1270432000.0,236925000.0,,,,2121379000.0,,406727000.0,,,,,,,952971000.0,,1.06,1.03,898866000.0,898866000.0,1042002822.5,,,,,2278410000.0,,
CABK.MC,2024-12-31 00:00:00,17039000000.0,,,,,7801000000.0,1616000000.0,,,,9789000000.0,,2525000000.0,,,,,,,5787000000.0,,0.76,0.76,7262000000.0,7262000000.0,5870940000.0,,,,,11108000000.0,,
CLNX.MC,2024-12-31 00:00:00,4070205000.0,,,,,3486442000.0,864655000.0,583763000.0,,,816463000.0,,-657779000.0,,,,,,,-28043000.0,,-0.039684,-0.039684,705571553.0,705571553.0,282409750.0,,,,,-870148000.0,,
COL.MC,2024-12-31 00:00:00,502412000.0,92344000.0,410068000.0,,,91635000.0,45014000.0,318433000.0,,,106422000.0,,-35003000.0,,,,,,,307395000.0,,0.53,0.53,576863000.0,576863000.0,296955750.0,,,,,-80857000.0,,
AENA.MC,2024-12-31 00:00:00,5763531000.0,1633254000.0,4130277000.0,,,1506826000.0,1562519000.0,2623451000.0,,,245748000.0,,583652000.0,,,,,,,1934224000.0,,1.289,1.289,1500561676.0,1500561676.0,1916042187.032805,,,,,-141704000.0,,
ELE.MC,2024-12-31 00:00:00,20927000000.0,13438000000.0,7489000000.0,,,3309000000.0,717000000.0,4180000000.0,,,457000000.0,,696000000.0,,,,,,,1888000000.0,,1.78,1.78,1058458650.0,1058458650.0,2784206000.0,,,,,-435000000.0,,
ENG.MC,2024-12-31 00:00:00,905546000.0,59363000.0,846183000.0,,,558430000.0,94270000.0,287753000.0,,,106225000.0,,-13942000.0,,,,,,,-299309000.0,,-1.1467,-1.1467,261029000.0,261029000.0,358406538.641866,,,,,-58966000.0,,
FDR.MC,2024-12-31 00:00:00,2136402000.0,887929000.0,1248473000.0,,,980811000.0,164389000.0,267662000.0,,,63395000.0,,51032000.0,,,,,,,138068000.0,,0.72731,0.72731,189833227.0,189833227.0,143132609.522034,,,,,-67545000.0,,
FER.MC,2024-12-31 00:00:00,9147000000.0,1115000000.0,8032000000.0,,,7131000000.0,4219000000.0,901000000.0,,,477000000.0,,145000000.0,,,,,,,3239000000.0,,4.47,4.47,724191000.0,724191000.0,545640000.0,,,,,-309000000.0,,
GRF.MC,2024-12-31 00:00:00,7212382000.0,4417844000.0,2794538000.0,,,1639327000.0,,1155211000.0,,,602571000.0,,231190000.0,,,,,,,156920000.0,,0.23,0.23,679668551.0,679916715.0,192091250.0,,,,,-701124000.0,,
IAG.MC,2024-12-31 00:00:00,32100000000.0,24521000000.0,7579000000.0,,,3278000000.0,1120000000.0,4301000000.0,,,902000000.0,,831000000.0,,,,,,,2732000000.0,,0.557,0.555,4903453000.0,5259658000.0,2836312000.0,,,,,-450000000.0,,
IBE.MC,2024-12-31 00:00:00,44739000000.0,20863000000.0,23876000000.0,,,12108000000.0,6793000000.0,11768000000.0,,,1997000000.0,,2150000000.0,,,,,,,5612000000.0,,0.837,0.835,6440265033.0,6456292802.0,7125490000.0,,,,,-1685000000.0,,
IDR.MC,2024-12-31 00:00:00,4842857000.0,3161296000.0,1681561000.0,,,1234789000.0,308606000.0,446772000.0,,,52074000.0,,105981000.0,,,,,,,277541000.0,,1.5799,1.5799,175672641.0,175672641.0,276840167.0,,,,,-54694000.0,,
ITX.MC,2025-01-31 00:00:00,38632000000.0,16288000000.0,22343000000.0,,,14670000000.0,1227000000.0,7673000000.0,,,353000000.0,,1700000000.0,,,,,,,5866000000.0,,1.884,1.881,3114452983.0,3118553961.0,5958300778.672298,,,,,89000000.0,,
LOG.MC,2024-09-30 00:00:00,12985534000.0,11228784000.0,1756750000.0,,,1437129000.0,779948000.0,319621000.0,,,8319000.0,,110910000.0,,,,,,,308235000.0,,2.34,2.34,131938000.0,131938000.0,304428435.0,,,,,93029000.0,,
MAP.MC,2024-12-31 00:00:00,25833400000.0,,,,,,279900000.0,,,,,,512500000.0,,,,,,,967500000.0,,0.315,0.315,3067400000.0,3067400000.0,1040749533.288885,,,,,122600000.0,,
MRL.MC,2024-12-31 00:00:00,494572000.0,,,,,117089000.0,71406000.0,377483000.0,,,130214000.0,,12195000.0,,,,,,,283759000.0,,0.56,0.56,509857000.0,509857000.0,285615225.710752,,,,,-92598000.0,,
MTS.MC,2024-12-31 00:00:00,62441000000.0,56653000000.0,5788000000.0,,,2680000000.0,202000000.0,3108000000.0,,,510000000.0,,1535000000.0,,,,,,,1339000000.0,,1.7,1.69,788000000.0,791000000.0,1778240000.0,,,,,-407000000.0,,
NTGY.MC,2024-12-31 00:00:00,19267000000.0,11565000000.0,7702000000.0,,,3941000000.0,2001000000.0,3761000000.0,,,490000000.0,,835000000.0,,,,,,,1901000000.0,,,,,,1989510000.0,,,,,-465000000.0,,
PUIG.MC,2024-12-31 00:00:00,4789779000.0,1201679000.0,3588100000.0,,,2838714000.0,9328000.0,749386000.0,,,76807000.0,,149973000.0,,,,,,,530649000.0,,0.98,0.98,540509079.0,540509079.0,638153334.0,,,,,29648000.0,,
RED.MC,2024-12-31 00:00:00,1594204000.0,-38319000.0,1632523000.0,,,924112000.0,401259000.0,708411000.0,,,143572000.0,,148791000.0,,,,,,,368438000.0,,0.68,0.68,541080000.0,541080000.0,507083817.2,,,,,-94029000.0,,
REP.MC,2024-12-31 00:00:00,57122000000.0,46216000000.0,10906000000.0,,,8299000000.0,4710000000.0,2607000000.0,,,501000000.0,,562000000.0,,,,,,,1756000000.0,,1.43,1.43,1183000000.0,1183000000.0,2298596685.082873,,,,,129000000.0,,
ROVI.MC,2024-12-31 00:00:00,763749000.0,285403000.0,478346000.0,,,298801000.0,95682000.0,179545000.0,,,1988000.0,,40814000.0,,,,,,,136881000.0,,2.676097,2.676097,51149498.0,51149498.0,136818630.0,,,,,-2091000.0,,
SAB.MC,2024-12-31 00:00:00,6543842000.0,,,,,3501423000.0,524236000.0,,,,4692057000.0,,685272000.0,,,,,,,1826805000.0,,0.32,0.32,5376450440.0,5376450440.0,1912119563.8,,,,,5021335000.0,,
SAN.MC,2024-12-31 00:00:00,63842000000.0,,,,,,,,,,66067000000.0,,5283000000.0,,,,,,,12574000000.0,,0.771,0.768,15497607269.0,15567717839.0,13039161200.0,,,,,46668000000.0,,
SCYR.MC,2024-12-31 00:00:00,4571004000.0,1451202000.0,3119802000.0,,,1893452000.0,1287021000.0,1226350000.0,,,749318000.0,,171724000.0,,,,,,,113373000.0,,0.15,0.15,734622000.0,734622000.0,82092205.6,,,,,-707626000.0,,
SLR.MC,2024-12-31 00:00:00,176906000.0,2033000.0,174873000.0,,,46123000.0,11688000.0,128750000.0,,,38096000.0,,31529000.0,,,,,,,88614000.0,,,,,,67298196.332704,,,,,-37552000.0,,
TEF.MC,2024-12-31 00:00:00,41315000000.0,12557000000.0,28758000000.0,,,24180000000.0,7852000000.0,4578000000.0,,,2998000000.0,,348000000.0,,,,,,,-49000000.0,,-0.06,-0.06,5635695000.0,5672270000.0,1416500000.0,,,,,-2018000000.0,,
UNI.MC,2024-12-31 00:00:00,2128430000.0,,,,,1283537000.0,414262000.0,,,,1155110000.0,,242953000.0,,,,,,,573334000.0,,0.217,0.217,2612444000.0,2612444000.0,584852123.532835,,,,,1538082000.0,,
AC.PA,2024-12-31 00:00:00,5606000000.0,2867000000.0,2739000000.0,,,1960000000.0,1579000000.0,779000000.0,,,141000000.0,,193000000.0,,,,,,,610000000.0,,2.34,2.33,260683761.0,261802575.0,648242800.0,,,,,-88000000.0,,
AI.PA,2024-12-31 00:00:00,27057800000.0,10008200000.0,17049600000.0,,,11658200000.0,4221400000.0,5391400000.0,,,258400000.0,,1086500000.0,,,,,,,3306100000.0,,5.74,5.74,576457564.0,576457564.0,3644908000.0,,,,,-418400000.0,,
AIR.PA,2024-12-31 00:00:00,69230000000.0,58555000000.0,10675000000.0,,,5871000000.0,,4804000000.0,,,900000000.0,,1347000000.0,,,,,,,4232000000.0,,5.36,5.35,789961671.0,790991077.0,4374880000.0,,,,,39000000.0,,
MT.AS,2024-12-31 00:00:00,62441000000.0,56653000000.0,5788000000.0,,,2680000000.0,202000000.0,3108000000.0,,,510000000.0,,1535000000.0,,,,,,,1339000000.0,,1.7,1.69,788000000.0,791000000.0,1778240000.0,,,,,-407000000.0,,
CS.PA,2024-12-31 00:00:00,89823000000.0,,,,,,2812000000.0,,,,607000000.0,,2459000000.0,,,,,,,7886000000.0,,3.304729,3.304729,2175367655.0,2175367655.0,7331000000.0,,,,,-607000000.0,,
BNP.PA,2024-12-31 00:00:00,65870000000.0,,,,,47403000000.0,11428000000.0,,,,63496000000.0,,4001000000.0,,,,,,,11688000000.0,,9.57,9.57,1133302357.0,1133302357.0,11631912000.0,,,,,19524000000.0,,
EN.PA,2024-12-31 00:00:00,56752000000.0,25434000000.0,31318000000.0,,,28672000000.0,11564000000.0,2646000000.0,,,499000000.0,,617000000.0,,,,,,,1058000000.0,,2.8,2.8,377857143.0,377857143.0,1303272000.0,,,,,-401000000.0,,
BVI.PA,2024-12-31 00:00:00,6240900000.0,1739800000.0,4501100000.0,,,3567700000.0,19100000.0,933400000.0,,,101100000.0,,273800000.0,,,,,,,569400000.0,,,,,,569400000.0,,,,,-75500000.0,,
CAP.PA,2024-12-31 00:00:00,22096000000.0,16044000000.0,6052000000.0,,,3520000000.0,46000000.0,2532000000.0,,,183000000.0,,681000000.0,,,,,,,1671000000.0,,,,,,1815872000.0,,,,,24000000.0,,
CA.PA,2024-12-31 00:00:00,87270000000.0,70302000000.0,16968000000.0,,,14795000000.0,1481000000.0,2173000000.0,,,785000000.0,,303000000.0,,,,,,,723000000.0,,,,,,1126904849.039341,,,,,-715000000.0,,
ACA.PA,2024-12-31 00:00:00,25328000000.0,,,,,14899000000.0,4918000000.0,,,,49146000000.0,,2472000000.0,,,,,,,7087000000.0,,2.109,2.109,3015082065.0,3015082065.0,6842109100.0,,,,,14298000000.0,,
BN.PA,2024-12-31 00:00:00,27376000000.0,13769000000.0,13607000000.0,,,10126000000.0,179000000.0,3481000000.0,,,600000000.0,,929000000.0,,,,,,,2021000000.0,,3.14,3.13,643283916.0,644436743.0,2021000000.0,,,,,-380000000.0,,
DSY.PA,2024-12-31 00:00:00,6213600000.0,1016300000.0,5197300000.0,,,3822600000.0,15000000.0,1374700000.0,,,48900000.0,,279900000.0,,,,,,,1200200000.0,,0.91,0.9,1313306086.0,1333387463.0,1213419300.0,,,,,128100000.0,,
EDEN.PA,2024-12-31 00:00:00,2856000000.0,1144000000.0,1712000000.0,,,783000000.0,558000000.0,929000000.0,,,,,254000000.0,,,,,,,507000000.0,,2.07,2.01,245286351.0,252646478.0,569062000.0,,,,,-32000000.0,,
ENGI.PA,2024-12-31 00:00:00,73812000000.0,49465000000.0,24347000000.0,,,14908000000.0,2341000000.0,9439000000.0,,,2967000000.0,,2215000000.0,,,,,,,4106000000.0,,1.66,1.65,2425000000.0,2436000000.0,4481236677.334075,,,,,-2644000000.0,,
EL.PA,2024-12-31 00:00:00,26508000000.0,9702000000.0,16805000000.0,,,13358000000.0,252000000.0,3447000000.0,,,165000000.0,,800000000.0,,,,,,,2359000000.0,,5.2,5.13,453926761.0,460012730.0,2359000000.0,,,,,-160000000.0,,
ERF.PA,2024-12-31 00:00:00,6951000000.0,2238800000.0,4712200000.0,,,3986000000.0,46000000.0,726200000.0,,,150800000.0,,149100000.0,,,,,,,406400000.0,,2.13,2.09,190600000.0,194500000.0,437506700.0,,,,,-131500000.0,,
RMS.PA,2024-12-31 00:00:00,15170000000.0,4511000000.0,10659000000.0,,,4511000000.0,942000000.0,6148000000.0,,,,,1845000000.0,,,,,,,4603000000.0,,43.93,43.87,104780332.0,104923638.0,4603000000.0,,,,,283000000.0,,
KER.PA,2024-12-31 00:00:00,17194000000.0,4513000000.0,12681000000.0,,,10127000000.0,7110000000.0,2554000000.0,,,,,461000000.0,,,,,,,1133000000.0,,9.24,9.24,122619048.0,122619048.0,1309418000.0,,,,,-614000000.0,,
OR.PA,2024-12-31 00:00:00,43486800000.0,11227000000.0,32259800000.0,,,23572300000.0,,8687500000.0,,,384300000.0,,2015100000.0,,,,,,,6408700000.0,,11.99,11.95,534482831.0,536078431.0,6639372150.742924,,,,,-261400000.0,,
LR.PA,2024-12-31 00:00:00,8648900000.0,4182800000.0,4466100000.0,,,2823400000.0,139700000.0,1642700000.0,,,153900000.0,,409000000.0,,,,,,,1166400000.0,,4.452,4.423,261976092.0,263709361.0,1166400000.0,,,,,-50900000.0,,
MC.PA,2024-12-31 00:00:00,84683000000.0,27918000000.0,56765000000.0,,,37187000000.0,,19578000000.0,,,1186000000.0,,5157000000.0,,,,,,,12550000000.0,,,,,,12741620000.0,,,,,-1234000000.0,,
ML.PA,2024-12-31 00:00:00,27193000000.0,19445000000.0,7748000000.0,,,4561000000.0,70000000.0,3187000000.0,,,295000000.0,,555000000.0,,,,,,,1884000000.0,,2.65,2.62,712283891.0,716960000.0,2265089000.0,,,,,-171000000.0,,
ORA.PA,2024-12-31 00:00:00,40260000000.0,16649000000.0,23611000000.0,,,17496000000.0,2050000000.0,6115000000.0,,,1312000000.0,,1355000000.0,,,,,,,2350000000.0,,0.82,0.82,2658606474.0,2659826500.0,2578192592.592593,,,,,-1041000000.0,,
RI.PA,2024-06-30 00:00:00,11598000000.0,4623000000.0,6975000000.0,,,3866000000.0,1994000000.0,3109000000.0,,,458000000.0,,766000000.0,,,,,,,1476000000.0,,5.84,5.83,252595588.0,253188307.0,1733280000.0,,,,,-419000000.0,,
PUB.PA,2024-12-31 00:00:00,16030000000.0,,,,,13745000000.0,3792000000.0,2285000000.0,,,122000000.0,,549000000.0,,,,,,,1660000000.0,,6.62,6.55,250677462.0,253565798.0,1698301000.0,,,,,-29000000.0,,
RNO.PA,2024-12-31 00:00:00,56232000000.0,44500000000.0,11732000000.0,,,7658000000.0,189000000.0,4074000000.0,,,379000000.0,,647000000.0,,,,,,,752000000.0,,2.76,2.72,272374000.0,276883000.0,2360020000.0,,,,,-167000000.0,,
SAF.PA,2024-12-31 00:00:00,27716000000.0,14445000000.0,13271000000.0,,,9281000000.0,334000000.0,3990000000.0,,,129000000.0,,-284000000.0,,,,,,,-667000000.0,,-1.6,-1.6,416149530.0,420722353.0,2426297400.0,,,,,99000000.0,,
SGO.PA,2024-12-31 00:00:00,46571000000.0,33688000000.0,12883000000.0,,,7888000000.0,,4995000000.0,,,934000000.0,,994000000.0,,,,,,,2844000000.0,,5.69,5.64,499715108.0,503934048.0,2981437881.873727,,,,,-455000000.0,,
SAN.PA,2024-12-31 00:00:00,44286000000.0,13205000000.0,31081000000.0,,,21619000000.0,3293000000.0,9462000000.0,,,749000000.0,,1204000000.0,,,,,,,5560000000.0,,4.59,4.59,1251400000.0,1251400000.0,7303280000.0,,,,,-560000000.0,,
SU.PA,2024-12-31 00:00:00,38153000000.0,21885000000.0,16268000000.0,,,9698000000.0,107000000.0,6570000000.0,,,483000000.0,,1398000000.0,,,,,,,4269000000.0,,7.61,7.53,560716000.0,569085000.0,4608964000.0,,,,,-381000000.0,,
GLE.PA,2024-12-31 00:00:00,52509000000.0,,,,,43657000000.0,840000000.0,,,,45127000000.0,,1601000000.0,,,,,,,4200000000.0,,4.38,4.38,795168649.0,795168649.0,4637747500.0,,,,,9892000000.0,,
STLAP.PA,2024-12-31 00:00:00,156878000000.0,136360000000.0,20518000000.0,,,15083000000.0,,5435000000.0,,,1523000000.0,,-1488000000.0,,,,,,,5473000000.0,,1.86,1.84,2949652000.0,2975820000.0,6839764000.0,,,,,472000000.0,,
STMPA.PA,2024-12-31 00:00:00,13269000000.0,8049000000.0,5220000000.0,,,3726000000.0,,1494000000.0,,,85000000.0,,313000000.0,,,,,,,1557000000.0,,1.73,1.66,901210072.0,939345283.0,1610120000.0,,,,,218000000.0,,
TEP.PA,2024-12-31 00:00:00,10280000000.0,6927000000.0,3353000000.0,,,2247800000.0,979000000.0,1105200000.0,,,260000000.0,,346000000.0,,,,,,,523000000.0,,8.76,8.71,59706774.0,60035782.0,566448000.0,,,,,-248000000.0,,
HO.PA,2024-12-31 00:00:00,20576600000.0,15202700000.0,5373900000.0,,,3556900000.0,,1817000000.0,,,337400000.0,,247300000.0,,,,,,,1419500000.0,,6.91,6.89,205523000.0,206021000.0,1431228000.0,,,,,-181800000.0,,
TTE.PA,2024-12-31 00:00:00,195610000000.0,140078000000.0,55532000000.0,,,31427000000.0,31427000000.0,24105000000.0,,,2364000000.0,,10775000000.0,,,,,,,15758000000.0,,6.74,6.69,2337982196.0,2337982196.0,14615750000.0,,,,,-290000000.0,,
URW.PA,2024-12-31 00:00:00,3256100000.0,1209900000.0,2046200000.0,,,203200000.0,,1843000000.0,,,1108100000.0,,112800000.0,,,,,,,146200000.0,,1.05,1.04,139497322.0,141126412.0,140503785.16624,,,,,-466200000.0,,
VIE.PA,2024-12-31 00:00:00,44692000000.0,36924000000.0,7768000000.0,,,4516000000.0,,3252000000.0,,,910000000.0,,566000000.0,,,,,,,1098000000.0,,,,,,1343230000.0,,,,,-989000000.0,,
