ticker,year,market,name,country,ticket,index
^IBEX,2020,España,IBEX 35,España,^IBEX.MC,.MC
^FCHI,2020,Francia,CAC 40,Francia,^FCHI.PA,.PS
^FTSE,2020,Reino Unido,FTSE 100,Reino Unido,^FTSE.L,.L
^GDAXI,2020,Alemania,DAX,Alemania,^GDAXI.DE,.DE
^SSMI,2020,Suiza,SMI (Swiss Market Index),Suiza,^SSMI.SW,.SW
FTSEMIB.MI,2020,Italia,FTSE MIB,Italia,FTSEMIB.MI,.MI
^OMXS30,2020,Suecia,OMX Stockholm 30,Suecia,^OMXS30.ST,.ST
^AEX,2020,Países Bajos,AEX,Países Bajos,^AEX.AS,.AS
^IBEX,2021,España,IBEX 35,España,^IBEX.MC,.MC
^FCHI,2021,Francia,CAC 40,Francia,^FCHI.PA,.PS
^FTSE,2021,Reino Unido,FTSE 100,Reino Unido,^FTSE.L,.L
^GDAXI,2021,Alemania,DAX,Alemania,^GDAXI.DE,.DE
^SSMI,2021,Suiza,SMI (Swiss Market Index),Suiza,^SSMI.SW,.SW
FTSEMIB.MI,2021,Italia,FTSE MIB,Italia,FTSEMIB.MI,.MI
^OMXS30,2021,Suecia,OMX Stockholm 30,Suecia,^OMXS30.ST,.ST
^AEX,2021,Países Bajos,AEX,Países Bajos,^AEX.AS,.AS
^IBEX,2022,España,IBEX 35,España,^IBEX.MC,.MC
^FCHI,2022,Francia,CAC 40,Francia,^FCHI.PA,.PS
^FTSE,2022,Reino Unido,FTSE 100,Reino Unido,^FTSE.L,.L
^GDAXI,2022,Alemania,DAX,Alemania,^GDAXI.DE,.DE
^SSMI,2022,Suiza,SMI (Swiss Market Index),Suiza,^SSMI.SW,.SW
FTSEMIB.MI,2022,Italia,FTSE MIB,Italia,FTSEMIB.MI,.MI
^OMXS30,2022,Suecia,OMX Stockholm 30,Suecia,^OMXS30.ST,.ST
^AEX,2022,Países Bajos,AEX,Países Bajos,^AEX.AS,.AS
^IBEX,2023,España,IBEX 35,España,^IBEX.MC,.MC
^FCHI,2023,Francia,CAC 40,Francia,^FCHI.PA,.PS
^FTSE,2023,Reino Unido,FTSE 100,Reino Unido,^FTSE.L,.L
^GDAXI,2023,Alemania,DAX,Alemania,^GDAXI.DE,.DE
^SSMI,2023,Suiza,SMI (Swiss Market Index),Suiza,^SSMI.SW,.SW
FTSEMIB.MI,2023,Italia,FTSE MIB,Italia,FTSEMIB.MI,.MI
^OMXS30,2023,Suecia,OMX Stockholm 30,Suecia,^OMXS30.ST,.ST
^AEX,2023,Países Bajos,AEX,Países Bajos,^AEX.AS,.AS
^IBEX,2024,España,IBEX 35,España,^IBEX.MC,.MC
^FCHI,2024,Francia,CAC 40,Francia,^FCHI.PA,.PS
^FTSE,2024,Reino Unido,FTSE 100,Reino Unido,^FTSE.L,.L
^GDAXI,2024,Alemania,DAX,Alemania,^GDAXI.DE,.DE
^SSMI,2024,Suiza,SMI (Swiss Market Index),Suiza,^SSMI.SW,.SW
FTSEMIB.MI,2024,Italia,FTSE MIB,Italia,FTSEMIB.MI,.MI
^OMXS30,2024,Suecia,OMX Stockholm 30,Suecia,^OMXS30.ST,.ST
^AEX,2024,Países Bajos,AEX,Países Bajos,^AEX.AS,.AS
^IBEX,2025,España,IBEX 35,España,^IBEX.MC,.MC
^FCHI,2025,Francia,CAC 40,Francia,^FCHI.PA,.PS
^FTSE,2025,Reino Unido,FTSE 100,Reino Unido,^FTSE.L,.L
^GDAXI,2025,Alemania,DAX,Alemania,^GDAXI.DE,.DE
^SSMI,2025,Suiza,SMI (Swiss Market Index),Suiza,^SSMI.SW,.SW
FTSEMIB.MI,2025,Italia,FTSE MIB,Italia,FTSEMIB.MI,.MI
^OMXS30,2025,Suecia,OMX Stockholm 30,Suecia,^OMXS30.ST,.ST
^AEX,2025,Países Bajos,AEX,Países Bajos,^AEX.AS,.AS